ID,ページ,セクション,種別,確定文言,ステータス,備考,最終更新日
TOP-ECOSYSTEM-03,TOP,OUR ECOSYSTEM,本文,余白が生まれ、多様な働き方が広がり、挑戦が動き出す。新しい仕事や事業が生まれ、また次の挑戦へとつながっていく。,検討中,EcosystemCircle.tsx。残置Ecosystem.tsxは「次の余白へ」表記,2026-08-20
TOP-ECOSYSTEM-04,TOP,OUR ECOSYSTEM,事業コピー,忙しさを、余白へ。,確定,EcosystemCircle DXキャッチ。SERVICE-DX-001と一致,2026-08-20
TOP-ECOSYSTEM-05,TOP,OUR ECOSYSTEM,事業コピー,人手不足を、多様な働き方へ。,確定,EcosystemCircle BPOキャッチ。SERVICE-BPO-001と一致,2026-08-20
TOP-ECOSYSTEM-06,TOP,OUR ECOSYSTEM,事業コピー,地域課題を、挑戦のきっかけに。,要確認,EcosystemCircle 地域キャッチ。★確定SERVICE-REGION-001「…きっかけへ。」と不一致（現行は「…に。」）。要修正,2026-08-20
TOP-ECOSYSTEM-07,TOP,OUR ECOSYSTEM,循環語,余白 → 多様な働き方 → 挑戦 → 新しい仕事・事業が生まれる → 次の挑戦へ,検討中,EcosystemCircle 円周の循環語,2026-08-20
TOP-BUSINESS-01,TOP,BUSINESS,見出し,忙しさや人手不足を、地域の力に変えていく。,検討中,page.tsx BUSINESS h2,2026-08-20
TOP-BUSINESS-02,TOP,BUSINESS,本文,業務を整理し、AI・RPA・自動化を使って、人がやらなくてもいい仕事を減らします。,検討中,page.tsx DX本文,2026-08-20
TOP-BUSINESS-03,TOP,BUSINESS,本文,企業に必要な仕事を整理し、外部のチームと一緒に支えます。,検討中,page.tsx BPO本文,2026-08-20
TOP-BUSINESS-04,TOP,BUSINESS,事業コピー,地域課題を、挑戦のきっかけへ。,確定,page.tsx 地域タイトル。SERVICE-REGION-001と一致,2026-08-20
TOP-BUSINESS-05,TOP,BUSINESS,本文,人・企業・地域をつなぎ、新しい挑戦が生まれる場をつくります。,検討中,page.tsx 地域本文,2026-08-20
TOP-BUSINESS-06,TOP,BUSINESS,リンク,DXを詳しく → ／ BPOを詳しく → ／ 地域プロデュースを詳しく →,検討中,page.tsx 各事業リンク,2026-08-20
TOP-MESSAGE-01,TOP,MESSAGE,見出し,起点は、いつも一人の挑戦者だ。,検討中,page.tsx MESSAGE h2,2026-08-20
TOP-MESSAGE-02,TOP,MESSAGE,本文,人口が減り、働く人が減っても、地域の未来まで決まるわけではない。,検討中,page.tsx,2026-08-20
TOP-MESSAGE-03,TOP,MESSAGE,本文,会社を変えようとする人。新しい仕事をつくろうとする人。地域で何かを始めようとする人。誰かが挑戦すると、そこに人が集まり、新しい仕事や価値が生まれる。そして、その挑戦がまた次の誰かの挑戦につながっていく。,検討中,page.tsx,2026-08-20
TOP-MESSAGE-04,TOP,MESSAGE,本文,DXで、人がやらなくてもいい仕事を減らす。BPOで、必要な仕事を支え、一人ひとりに合った働き方を増やす。地域プロデュースで、人や企業の想いをつなぎ、新しい挑戦が始まるきっかけをつくる。,検討中,page.tsx,2026-08-20
TOP-MESSAGE-05,TOP,MESSAGE,強調文,私たちは、地域に挑戦と共創の循環をつくります。,検討中,page.tsx 強調,2026-08-20
TOP-HOWWEWORK-01,TOP,HOW WE WORK（在り方）,見出し,在り方。,検討中,page.tsx h2,2026-08-20
TOP-HOWWEWORK-02,TOP,HOW WE WORK（在り方）,項目,整理する。／ まず「何が課題なのか」を一緒に考える。,検討中,page.tsx,2026-08-20
TOP-HOWWEWORK-03,TOP,HOW WE WORK（在り方）,項目,仕組みにする。／ 誰か一人に頼らなくても回る形をつくる。,検討中,page.tsx,2026-08-20
TOP-HOWWEWORK-04,TOP,HOW WE WORK（在り方）,項目,一緒に動かす。／ 提案して終わりではなく、実行し、改善し、定着するところまで伴走する。,検討中,page.tsx,2026-08-20
TOP-WORKS-01,TOP,WORKS,見出し,西尾で、積み上げてきた。,検討中,page.tsx h2,2026-08-20
TOP-WORKS-02,TOP,WORKS,リンク,実績をもっと見る →,検討中,page.tsx,2026-08-20
TOP-WORKS-03,TOP,WORKS,数字,7件：DX・業務効率化の支援 ／ 3社：BPO支援 ／ 5名：外部パートナー ／ 4件：地域プロジェクト,検討中,page.tsx / works と共通のstats,2026-08-20
TOP-WORKS-04,TOP,WORKS,キャプション,西尾の企業・地域と、一つずつ形にしてきた仕事。,検討中,page.tsx,2026-08-20
TOP-PEOPLE-01,TOP,PEOPLE,見出し,関わってくれる人たち。,検討中,page.tsx h2,2026-08-20
TOP-PEOPLE-02,TOP,PEOPLE,本文,社員だけで仕事をする会社ではありません。働き方も、住む場所も、得意なことも違う人たちが、それぞれの力を持ち寄って、一緒に仕事やプロジェクトをつくっています。,検討中,page.tsx,2026-08-20
TOP-PEOPLE-03,TOP,PEOPLE,リンク,関わる人たちを見る →,検討中,page.tsx,2026-08-20
TOP-VISION-01,TOP,OUR VISION（2040）,ラベル,OUR VISION ／ 2040年 Vision,検討中,VisionNishio.tsx,2026-08-20
TOP-VISION-02,TOP,OUR VISION（2040）,本文,挑戦と共創の循環が、地域の未来を動かす。,検討中,VisionNishio.tsx,2026-08-20
TOP-VISION-03,TOP,OUR VISION（2040）,本文,地域の可能性を信じ、挑戦がめぐり続けるまちへ。,検討中,VisionNishio.tsx,2026-08-20
TOP-CONTACT-01,TOP,CONTACT,見出し,ご相談はこちらから,検討中,page.tsx CTA帯。全ページで共通見出し,2026-08-20
TOP-CONTACT-02,TOP,CONTACT,本文,AIを使いたい。人が足りない。地域で何か始めたい。まだ課題が整理できていなくても大丈夫です。,検討中,page.tsx,2026-08-20
TOP-CONTACT-03,TOP,CONTACT,ボタン,30分相談する →,検討中,page.tsx CTA,2026-08-20
ABOUT-PURPOSE-01,About,1. PURPOSE,ラベル,Purpose — 存在意義,検討中,about/page.tsx,2026-08-20
ABOUT-PURPOSE-02,About,1. PURPOSE,見出し,すべてが繋がる瞬間を、共創する。,確定,about h1。会社MISSIONと一致（ブランド言語シート参照）,2026-08-20
ABOUT-PURPOSE-03,About,1. PURPOSE,本文,人と人。仕事と人。想いと地域。そのすべてが繋がる瞬間に、価値が生まれる。私たちは、その瞬間を共に創るために在ります。,検討中,about,2026-08-20
ABOUT-BELIEF-01,About,2. BELIEF,ラベル,Belief — 私たちが信じていること,検討中,about,2026-08-20
ABOUT-BELIEF-02,About,2. BELIEF,見出し,「生きててよかった！」があふれる世界を創る。,確定,about h2。会社VISIONと一致,2026-08-20
ABOUT-BELIEF-03,About,2. BELIEF,本文,やってみたかったことに挑戦できた。仲間と一緒に、何かを生み出せた。自分の仕事が、誰かの役に立った。——そんな瞬間が、一人ひとりの人生に増えていく。私たちは、その積み重ねの先にある世界を信じています。だから、繋がる瞬間を増やしつづける。,検討中,about,2026-08-20
ABOUT-HOW-01,About,3. HOW（3事業）,ラベル,How — だから、私たちは,検討中,about,2026-08-20
ABOUT-HOW-02,About,3. HOW（3事業）,見出し,存在意義を、3つの事業で果たす。,検討中,about,2026-08-20
ABOUT-HOW-03,About,3. HOW（3事業）,事業,DX：DX伴走支援（Core Shift）／ 人の時間を、価値創造へ。／ 請求書・データ転記・日報集計など、毎月繰り返す業務をAI・自動化で減らす。人がやらなくてもいい仕事を仕組みに変え、人にしかできない価値へ時間を取り戻す。,検討中,about businesses,2026-08-20
ABOUT-HOW-04,About,3. HOW（3事業）,事業,BPO：BPO（業務代行）／ 人手不足を、多様な働き方へ。／ 採用して人を増やす前に、仕事を外に出すという選択肢を。カスタマーサクセス・営業支援・SNS・経理事務。必要な仕事を、必要な分だけ支える。,検討中,about businesses,2026-08-20
ABOUT-HOW-05,About,3. HOW（3事業）,事業,PRODUCE：地域プロデュース／ 地域愛を、地域発展の力に。／ 地域の課題と、人や企業の「やってみたい」をつなぎ、新しいプロジェクトや事業が生まれる場をつくる。挑戦と共創が循環する地域を、西尾から。,検討中,about businesses,2026-08-20
ABOUT-PHOTO-01,About,西尾写真,キャプション,愛知県西尾市。すべては、この街から始まった。,検討中,about,2026-08-20
ABOUT-STORY-01,About,4. STORY（原点）,ラベル,Story — 原点,検討中,about,2026-08-20
ABOUT-STORY-02,About,4. STORY（原点）,見出し,なぜ、この存在意義にたどり着いたのか。,検討中,about,2026-08-20
ABOUT-STORY-03,About,4. STORY（原点）,本文,群馬の大学を経て、シンガポールのベンチャー企業へ。営業・CS・マーケティング・マネジメントを掛け持ちしながら、社員3名から10名へと成長する現場を走り抜けた。多いときは50社を担当しながら、新規営業も。夜も眠れない日々の中で、ひとつの問いに突き当たった。,検討中,about story[0],2026-08-20
ABOUT-STORY-04,About,4. STORY（原点）,本文,「この仕事、本当に人がやる必要があるのか。」——多くの企業が、人にしかできない仕事ではなく、人がやらなくてもいい仕事に、時間を使っていた。,検討中,about story[1],2026-08-20
ABOUT-STORY-05,About,4. STORY（原点）,本文,外に出たからこそ、やっぱり地元・西尾が好きだと気づいた。Uターンして地元企業と話すと、そこにも同じ問いがあった。「人手が足りない」「でも採れない」「社員は雑務で手一杯」。一方で若い人は「地元で働きたいけど仕事がない」と言う。この2つをつなぐ設計が必要だと確信した。,検討中,about story[2],2026-08-20
ABOUT-STORY-06,About,4. STORY（原点）,本文,100社以上の企業支援を重ねる中で、確信は強くなった。DXは効率化のためではない。人にしかできない価値を生み出すためのものだ。,検討中,about story[3],2026-08-20
ABOUT-STORY-07,About,4. STORY（原点）,本文,人口減少を止めることはできない。でも、挑戦と共創が循環する地域なら、豊かになれる。その仕組みを、西尾から創る。——それが、Moments Shareの原点になった。,検討中,about story[4],2026-08-20
ABOUT-VALUES-01,About,5. VALUES,ラベル,Values — 大切にしていること,検討中,about,2026-08-20
ABOUT-VALUES-02,About,5. VALUES,見出し,存在意義を、日々の選択に。,検討中,about,2026-08-20
ABOUT-VALUES-03,About,5. VALUES,本文,3つの行動基準と、7つの判断基準。すべては、繋がる瞬間を共に創るために。,検討中,about,2026-08-20
ABOUT-VALUES-04,About,5. VALUES / 3つの行動基準,行動基準,Moment：いま、できることをしよう。／ いまに感謝する。いま、目の前の人にどう貢献できるか考える。いま、できることを実行する。,検討中,about coreValues,2026-08-20
ABOUT-VALUES-05,About,5. VALUES / 3つの行動基準,行動基準,Moments：一歩ずつ、積み重ねよう。／ 行動し、改善し、前に進もう。,検討中,about coreValues,2026-08-20
ABOUT-VALUES-06,About,5. VALUES / 3つの行動基準,行動基準,Moments Share：「やってよかった」と思える瞬間を、共につくろう。／ 最後まで向き合い、喜びを分かち合おう。,検討中,about coreValues,2026-08-20
ABOUT-VALUES-07,About,5. VALUES / 7つの判断基準,判断基準,Legacy：100年後に、誇れる選択を。,検討中,about stances,2026-08-20
ABOUT-VALUES-08,About,5. VALUES / 7つの判断基準,判断基準,Purpose：目的から、考えよう。,検討中,about stances,2026-08-20
ABOUT-VALUES-09,About,5. VALUES / 7つの判断基準,判断基準,Self Driven：自分ごとで動こう。,検討中,about stances,2026-08-20
ABOUT-VALUES-10,About,5. VALUES / 7つの判断基準,判断基準,Challenge：まず、やってみよう。,検討中,about stances,2026-08-20
ABOUT-VALUES-11,About,5. VALUES / 7つの判断基準,判断基準,Co-Create：違いを力に、共に創ろう。,検討中,about stances,2026-08-20
ABOUT-VALUES-12,About,5. VALUES / 7つの判断基準,判断基準,Better Everyday：昨日より、少しずつ良くしよう。,検討中,about stances,2026-08-20
ABOUT-VALUES-13,About,5. VALUES / 7つの判断基準,判断基準,Build Systems：仕組みを創ろう。,検討中,about stances,2026-08-20
ABOUT-FOUNDER-01,About,6. FOUNDER,ラベル,Founder — 代表,検討中,about,2026-08-20
ABOUT-FOUNDER-02,About,6. FOUNDER,氏名・肩書,中根 隆 ／ 代表社員 / Ryu Nakane,検討中,about。people/aboutで表記ゆれ注意（people HEROは「ともに未来を創る、仲間たち。」）,2026-08-20
ABOUT-FOUNDER-03,About,6. FOUNDER,本文,群馬・シンガポールを経て西尾へ。シンガポールのベンチャー企業で営業・CS・マーケティング・マネジメントを経験し、100社以上の企業支援を重ねる中で、「人が疲弊する構造」と「DXが変える可能性」を目の当たりにしました。,検討中,about,2026-08-20
ABOUT-FOUNDER-04,About,6. FOUNDER,本文,眠れない夜を越えてたどり着いた答えが、挑戦と共創が循環する地域をつくるという一文でした。独立・西尾市へのUターンを経て、Moments Share合同会社を設立。,検討中,about,2026-08-20
ABOUT-COMPANY-01,About,7. COMPANY,会社概要,正式名称：Moments Share合同会社 ／ 代表者名：中根 隆（Ryu Nakane）／ 所在地：愛知県西尾市 ／ 設立：2025年 ／ 事業内容：DX支援・BPO・地域プロデュース ／ Email：branding@momentsshare.com,検討中,about company（資本金・従業員数は未確定で非掲載）,2026-08-20
ABOUT-CTA-01,About,8. FINAL CTA,見出し,ご相談はこちらから,検討中,about CTA帯,2026-08-20
ABOUT-CTA-02,About,8. FINAL CTA,本文,やってみたいこと、困っていること。まだカタチになっていなくても大丈夫です。,検討中,about,2026-08-20
ABOUT-CTA-03,About,8. FINAL CTA,ボタン,まず相談してみる →,検討中,about,2026-08-20
PEOPLE-HERO-01,People,HERO,ラベル,People,検討中,people/page.tsx,2026-08-20
PEOPLE-HERO-02,People,HERO,見出し,ともに未来を創る、仲間たち。,検討中,people h1,2026-08-20
PEOPLE-HERO-03,People,HERO,本文,Moments Shareは、社員だけで仕事をする会社ではありません。ここに関わる一人ひとりを、私たちは「Fellow（フェロー）」と呼んでいます。,検討中,people,2026-08-20
PEOPLE-HERO-04,People,HERO,キャプション,得意も働き方も違う人が、力を持ち寄る。,検討中,people,2026-08-20
PEOPLE-FELLOW-01,People,1. Fellowとは,ラベル,FELLOW — Fellowとは,検討中,people,2026-08-20
PEOPLE-FELLOW-02,People,1. Fellowとは,定義,自分の人生を主体的に生きながら、志が重なるとき、ともに挑戦し、ともに未来を創る人。,検討中,people Fellow定義,2026-08-20
PEOPLE-FELLOW-03,People,1. Fellowとは,本文,Moments Shareでは、ともに歩む一人ひとりを「Fellow（フェロー）」と呼んでいます。雇う・雇われるの関係ではなく、それぞれが自分の人生を生きながら、志が重なったときに手を組む——そんな関係を大切にしています。,検討中,people,2026-08-20
PEOPLE-TRAITS-01,People,2. こんな人,見出し,Fellowは、こんな人。,検討中,people,2026-08-20
PEOPLE-TRAITS-02,People,2. こんな人,項目,自分の人生を、主体的に生きている。／ 心の中に、志ややってみたいことがある。／ 志が重なったら、立場を超えて手を組める。／ ともに挑戦し、未来を創ることを楽しめる。,検討中,people fellowTraits（4項目）,2026-08-20
PEOPLE-WAYS-01,People,3. 関わり方,見出し,関わり方は、ひとつじゃない。,検討中,people,2026-08-20
PEOPLE-WAYS-02,People,3. 関わり方,本文,専門人材、副業、子育て中、学生、地域の人。それぞれの持ち場から、無理のない形で関わっています。,検討中,people,2026-08-20
PEOPLE-WAYS-03,People,3. 関わり方,項目,専門性を活かして企業を支える ／ 副業でプロジェクトに参加する ／ 子育てをしながら働く ／ 学生として地域に関わる ／ 自分でプロジェクトを始める,検討中,people ways（5項目・各説明文あり）,2026-08-20
PEOPLE-INTRO-01,People,4. Fellow紹介,見出し,Fellowを、紹介します。,検討中,people,2026-08-20
PEOPLE-INTRO-02,People,4. Fellow紹介,代表,中根 隆 / RYU NAKANE ／ 代表社員 / Founder。得意なこと：業務整理・DX設計、AI／RPA／ノーコードによる自動化、地域コミュニティづくり。担当：DX支援・BPO・地域プロデュースの3事業の推進。,検討中,people 代表プロフィール,2026-08-20
PEOPLE-INTRO-03,People,4. Fellow紹介,本文,「挑戦できる場所を、つくる側に回ろう」。西尾から、挑戦と共創が循環する地域の仕組みをつくるため。,検討中,people 代表・関わる理由,2026-08-20
PEOPLE-FUTURE-01,People,これから,見出し,これから、Fellowが増えていく。,検討中,people,2026-08-20
PEOPLE-FUTURE-02,People,これから,本文,専門人材、副業、子育て中、学生——。それぞれの持ち場から関わるFellowを、順次紹介していきます。※ 他のFellowは準備中。掲載は本人の実在情報のみ。,検討中,people,2026-08-20
PEOPLE-CTA-01,People,5. Fellowになる,見出し,志が重なったら、ともに。,検討中,people CTA帯,2026-08-20
PEOPLE-CTA-02,People,5. Fellowになる,本文,働き方も場所も問いません。専門でも、副業でも、学生でも。まずは気軽に話すところから。,検討中,people,2026-08-20
PEOPLE-CTA-03,People,5. Fellowになる,ボタン,Fellowとして関わる →,検討中,people,2026-08-20
WORKS-HERO-01,Works,HERO,ラベル,Works（実績）,検討中,works/page.tsx,2026-08-20
WORKS-HERO-02,Works,HERO,見出し,カタチにしてきたこと。,検討中,works h1,2026-08-20
WORKS-HERO-03,Works,HERO,本文,企業の業務改善から、地域のプロジェクトまで。お客様や仲間と一緒につくってきた仕事をご紹介します。,検討中,works,2026-08-20
WORKS-STATS-01,Works,数字,数字,7件：DX・業務効率化の支援 ／ 3社：BPO支援 ／ 5名：外部パートナー ／ 4件：地域プロジェクト,検討中,works stats（TOPと共通）,2026-08-20
WORKS-DX-01,Works,DX CASE,見出し,業務を、余白に変えた事例。,検討中,works（service-dxと同一見出し）,2026-08-20
WORKS-DX-02,Works,DX CASE,事例,SNS投稿の自動化：30分 → 約6分（作業時間 約80％削減）。AIが企画し、X・Threadsへ自動投稿するフローを構築。毎日の投稿作業を大幅に削減。,検討中,works dxCases[0],2026-08-20
WORKS-DX-03,Works,DX CASE,事例,請求書発行の自動化：手作業 → 自動化（転記・送付をゼロに）。フォーム入力から請求書の自動発行・メール送信までを一気通貫で自動化。,検討中,works dxCases[1],2026-08-20
WORKS-DX-04,Works,DX CASE,事例,在庫管理の一元化：紙＋Excel → 一元管理（転記作業を削減）。スマホ入力・クラウド管理・検索・アラートを実装し、Excel転記作業をなくした。,検討中,works dxCases[2],2026-08-20
WORKS-BPO-01,Works,BPO CASE,見出し,人が必要な仕事を、一緒に支えた事例。,検討中,works。事例は準備中（TODO）,2026-08-20
WORKS-BPO-02,Works,BPO CASE,本文,現在、掲載できる事例を整理中です。CS代行・SNS運用・事務代行などの支援実績を順次公開します。,検討中,works（プレースホルダ）,2026-08-20
WORKS-REGION-01,Works,地域プロジェクト,見出し,地域に、挑戦のきっかけをつくった。,検討中,works,2026-08-20
WORKS-REGION-02,Works,地域プロジェクト,事例,西尾働き方図鑑：地元で働く人・企業の姿を伝え、就活する学生と地域企業をつなぐプロジェクト。,検討中,works projects[0],2026-08-20
WORKS-REGION-03,Works,地域プロジェクト,事例,西尾筋肉祭り：地域の人が主役になって楽しむイベント。関わる人の輪を広げる場づくり。,検討中,works projects[1],2026-08-20
WORKS-REGION-04,Works,地域プロジェクト,事例,AI活用研究会：地域の企業・個人がAI活用を学び合うコミュニティ。挑戦のきっかけをつくる。,検討中,works projects[2]。★確定サービス名リストは「地域ベンチャー留学」で相違,2026-08-20
WORKS-REGION-05,Works,地域プロジェクト,リンク,ほかにも地域のプロジェクトに取り組んでいます。地域プロデュースを見る →,検討中,works,2026-08-20
WORKS-VOICE-01,Works,VOICE（お客様の声）,見出し,実際に、どう変わったか。,検討中,works。お客様の声は準備中（TODO）,2026-08-20
WORKS-VOICE-02,Works,VOICE（お客様の声）,本文,掲載許諾をいただいたお客様の声を、準備でき次第ご紹介します。,検討中,works（プレースホルダ）,2026-08-20
WORKS-CTA-01,Works,CTA,見出し,ご相談はこちらから,検討中,works CTA帯,2026-08-20
WORKS-CTA-02,Works,CTA,本文,「うちに合うかわからない」でも大丈夫です。まだ課題が整理できていなくても構いません。,検討中,works,2026-08-20
WORKS-CTA-03,Works,CTA,ボタン,30分相談する →,検討中,works,2026-08-20
NEWS-HEAD-01,News,マストヘッド,見出し,ニュース,検討中,news/page.tsx（ラベル NEWS / n POSTS）,2026-08-20
NEWS-ITEM-01,News,一覧,記事,2025-11-14 [お知らせ] Moments Share合同会社を設立しました,検討中,data/news.ts,2026-08-20
NEWS-ITEM-02,News,一覧,記事,2026-01-01 [プロジェクト] 西尾市の働き方図鑑プロジェクトを開始しました,検討中,data/news.ts,2026-08-20
NEWS-ITEM-03,News,一覧,記事,2026-03-01 [サービス] DX支援サービスを正式ローンチしました,検討中,data/news.ts,2026-08-20
NEWS-NAV-01,News,フッターリンク,リンク,← ホームへ戻る,検討中,news/page.tsx,2026-08-20
CONTACT-HERO-01,Contact,HERO,ラベル,お問い合わせ,検討中,contact/page.tsx,2026-08-20
CONTACT-HERO-02,Contact,HERO,見出し,ご相談はこちらから,検討中,contact h1,2026-08-20
CONTACT-HERO-03,Contact,HERO,本文,AIを使いたい。人が足りない。地域で何か始めたい。まだ課題が整理できていなくても大丈夫です。,検討中,contact,2026-08-20
CONTACT-HERO-04,Contact,HERO,キャプション,話は、このまちのどこかから始まる。,検討中,contact,2026-08-20
CONTACT-FORM-01,Contact,フォーム,ラベル,お名前* ／ 会社名・屋号 ／ メールアドレス* ／ ご相談の種類* ／ ご相談内容*,検討中,contact フォーム項目,2026-08-20
CONTACT-FORM-02,Contact,フォーム,選択肢,DX支援・業務自動化 ／ BPO・業務代行 ／ 地域プロデュース ／ 採用・複業・パートナー参加 ／ その他,検討中,contact categories,2026-08-20
CONTACT-FORM-03,Contact,フォーム,プレースホルダ,お困りごとや、やってみたいことを、わかる範囲でお書きください。,検討中,contact textarea,2026-08-20
CONTACT-FORM-04,Contact,フォーム,ボタン,この内容で送信する →,検討中,contact。送信先エンドポイント未設定（TODO）,2026-08-20
CONTACT-FORM-05,Contact,フォーム,補足,お急ぎの方はメールでも受け付けています：branding@momentsshare.com,検討中,contact,2026-08-20
DX-HERO-01,DX（service-dx）,HERO,ラベル,DX支援,検討中,service-dx/page.tsx,2026-08-20
DX-HERO-02,DX（service-dx）,HERO,事業コピー,忙しさを、余白へ。,確定,service-dx h1。SERVICE-DX-001と一致,2026-08-20
DX-HERO-03,DX（service-dx）,HERO,本文,毎月繰り返している、その仕事。AIや自動化で減らせるかもしれません。請求書。データ転記。日報集計。情報整理。まず業務を整理し、本当に効果のあるところから改善します。,検討中,service-dx,2026-08-20
